Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Društvo,240,Gemini,1.9545,0.3571,0.4545,0.2273,0.0476,0.1818,0.6645
Društvo,240,Claude,3.5833,0.0357,0.0,0.1714,0.0606,0.1714,0.7196
Društvo,241,Ekstraktivna,1.8333,0.04,0.0,0.0526,0.0,0.0526,0.6477
Društvo,241,Apstraktivna,2.2,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,241,ChatGPT,2.0625,0.12,0.25,0.0541,0.0,0.0541,0.6217
Društvo,241,Gemini,1.9412,0.12,0.1176,0.0571,0.0,0.0571,0.6548
Društvo,241,Claude,3.3,0.0,0.0,0.0769,0.0,0.0769,0.7175
Društvo,242,Ekstraktivna,1.0455,0.2778,0.1818,0.2273,0.0476,0.0909,0.6724
Društvo,242,Apstraktivna,1.5333,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,242,ChatGPT,2.0909,0.1667,0.0,0.0667,0.0,0.0667,0.6531
Društvo,242,Gemini,1.9167,0.1111,0.1667,0.0645,0.0,0.0645,0.6352
Društvo,242,Claude,1.9167,0.0,0.0,0.4,0.0714,0.2,0.7056
Društvo,243,Ekstraktivna,1.2222,0.125,0.1111,0.0,0.0,0.0,0.6263
Društvo,243,Apstraktivna,1.4667,0.0625,0.0,1.0,1.0,1.0,1.0
Društvo,243,ChatGPT,2.2,0.25,0.2,0.069,0.0,0.069,0.6209
Društvo,243,Gemini,2.2,0.125,0.0,0.129,0.0,0.0645,0.6373
Društvo,243,Claude,2.2,0.0,0.0,0.0714,0.0,0.0714,0.691
Društvo,244,Ekstraktivna,1.3846,0.0833,0.0769,0.1132,0.0,0.1132,0.6569
Društvo,244,Apstraktivna,2.0,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,244,ChatGPT,3.6,0.1667,0.0,0.1667,0.0,0.1111,0.6683
Društvo,244,Gemini,2.1176,0.25,0.2353,0.1395,0.0,0.093,0.6535
Društvo,244,Claude,3.0,0.0,0.0,0.25,0.0526,0.2,0.6858
Društvo,245,Ekstraktivna,1.5,0.2,0.125,0.0,0.0,0.0,0.673
Društvo,245,Apstraktivna,1.4118,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,245,ChatGPT,2.1818,0.15,0.1818,0.0645,0.0,0.0645,0.6505
Društvo,245,Gemini,2.0,0.25,0.3333,0.0625,0.0,0.0625,0.6163
Društvo,245,Claude,3.4286,0.0,0.0,0.0,0.0,0.0,0.6587
