Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Biznis,369,Ekstraktivna,0.1639,0.0,0.0,0.1538,0.0196,0.1154,0.6579
Biznis,369,Apstraktivna,0.3448,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,369,ChatGPT,0.8333,0.1111,0.0,0.1633,0.0,0.1224,0.7049
Biznis,369,Gemini,1.1111,0.0,0.0,0.0909,0.0,0.0455,0.6834
Biznis,369,Claude,0.7143,0.0,0.0,0.1176,0.0408,0.1176,0.6897
Biznis,370,Ekstraktivna,0.8197,0.3429,0.1311,0.2083,0.0426,0.0833,0.6531
Biznis,370,Apstraktivna,1.8519,0.0286,0.0,1.0,1.0,1.0,1.0
Biznis,370,ChatGPT,3.3333,0.1143,0.1333,0.1702,0.0,0.1277,0.7406
Biznis,370,Gemini,3.8462,0.0857,0.1538,0.2609,0.0455,0.2174,0.7061
Biznis,370,Claude,3.8462,0.0286,0.0,0.3043,0.0909,0.3043,0.7183
Biznis,371,Ekstraktivna,0.4722,0.2,0.0,0.3214,0.1481,0.2143,0.725
Biznis,371,Apstraktivna,1.0625,0.1,0.0,1.0,1.0,1.0,1.0
Biznis,371,ChatGPT,1.2143,0.5,0.2857,0.3636,0.129,0.303,0.7559
Biznis,371,Gemini,2.125,0.1,0.0,0.1538,0.0,0.0769,0.6887
Biznis,371,Claude,1.4167,0.1,0.0,0.3448,0.0,0.2069,0.7794
Biznis,372,Ekstraktivna,0.4054,0.2857,0.0541,0.2295,0.0678,0.1311,0.6752
Biznis,372,Apstraktivna,0.8333,0.1429,0.0,1.0,1.0,1.0,1.0
Biznis,372,ChatGPT,1.1538,0.0714,0.0,0.303,0.1935,0.303,0.8188
Biznis,372,Gemini,1.3636,0.3571,0.1818,0.129,0.0,0.129,0.6568
Biznis,372,Claude,1.875,0.0,0.0,0.0,0.0,0.0,0.6259
Biznis,373,Ekstraktivna,0.5667,0.3,0.0667,0.2581,0.0333,0.129,0.6989
Biznis,373,Apstraktivna,0.8947,0.3,0.2105,1.0,1.0,1.0,1.0
Biznis,373,ChatGPT,1.2143,0.4,0.1429,0.4286,0.2,0.4286,0.7384
Biznis,373,Gemini,1.5455,0.0,0.0,0.1622,0.0,0.1081,0.6553
Biznis,373,Claude,1.8889,0.0,0.0,0.2564,0.0541,0.2051,0.7203
Biznis,374,Ekstraktivna,0.8333,0.2143,0.1111,0.2222,0.0455,0.1556,0.6857
Biznis,374,Apstraktivna,2.1429,0.1786,0.1905,1.0,1.0,1.0,1.0
Biznis,374,ChatGPT,3.0,0.1071,0.1333,0.186,0.0,0.1395,0.7005
Biznis,374,Gemini,5.0,0.0,0.0,0.2703,0.1143,0.2703,0.7505
Biznis,374,Claude,3.2143,0.1071,0.1429,0.3902,0.0513,0.1951,0.694
Biznis,375,Ekstraktivna,0.5385,0.2667,0.0,0.3014,0.1127,0.2466,0.6845
Biznis,375,Apstraktivna,0.7241,0.1333,0.069,1.0,1.0,1.0,1.0
Biznis,375,ChatGPT,1.2353,0.0667,0.1176,0.2041,0.0851,0.1633,0.6938
Biznis,375,Gemini,3.0,0.0,0.0,0.0,0.0,0.0,0.6673
Biznis,375,Claude,2.1,0.0,0.0,0.0952,0.0,0.0476,0.6812
Biznis,376,Ekstraktivna,0.2289,0.0,0.0,0.1667,0.0847,0.1,0.6441
Biznis,376,Apstraktivna,0.6552,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,376,ChatGPT,1.4615,0.0,0.0,0.2222,0.0465,0.2222,0.6696
Biznis,376,Gemini,2.1111,0.0,0.0,0.1,0.0,0.1,0.6602
Biznis,376,Claude,1.4615,0.0,0.0,0.3636,0.1429,0.3182,0.6926
Biznis,377,Ekstraktivna,0.4773,0.0625,0.0,0.1918,0.0563,0.1096,0.6478
Biznis,377,Apstraktivna,1.05,0.0625,0.0,1.0,1.0,1.0,1.0
Biznis,377,ChatGPT,1.6154,0.125,0.0,0.1026,0.0,0.0513,0.6991
Biznis,377,Gemini,2.3333,0.0,0.0,0.1212,0.0,0.1212,0.6452
Biznis,377,Claude,2.1,0.0,0.0,0.1714,0.0,0.0571,0.6879
Biznis,378,Ekstraktivna,0.1458,0.0909,0.0,0.1102,0.016,0.1102,0.6729
Biznis,378,Apstraktivna,0.6087,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,378,ChatGPT,0.875,0.0,0.0,0.1463,0.0,0.1463,0.7003
Biznis,378,Gemini,1.75,0.0,0.0,0.0625,0.0,0.0625,0.7287
Biznis,378,Claude,1.5556,0.0,0.0,0.1212,0.0645,0.1212,0.7207
Biznis,379,Ekstraktivna,0.2653,0.2,0.0408,0.25,0.093,0.2273,0.7079
Biznis,379,Apstraktivna,0.4643,0.2,0.0714,1.0,1.0,1.0,1.0
Biznis,379,ChatGPT,1.0,0.1,0.1538,0.0816,0.0,0.0816,0.6777
Biznis,379,Gemini,2.1667,0.0,0.0,0.1463,0.0,0.1463,0.7176
Biznis,379,Claude,1.1818,0.1,0.0,0.0435,0.0,0.0435,0.6701
Biznis,380,Ekstraktivna,0.2333,0.2,0.0,0.2268,0.0632,0.1649,0.6878
Biznis,380,Apstraktivna,0.5,0.1,0.0,1.0,1.0,1.0,1.0
Biznis,380,ChatGPT,1.0,0.1,0.0,0.4255,0.0,0.2979,0.7835
Biznis,380,Gemini,1.2727,0.0,0.0,0.1333,0.0,0.1333,0.7071
Biznis,380,Claude,1.1667,0.1,0.0,0.1364,0.0,0.0909,0.666
Biznis,381,Ekstraktivna,0.3824,0.5556,0.1765,0.2353,0.0606,0.1765,0.6832
Biznis,381,Apstraktivna,0.5652,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,381,ChatGPT,1.0,0.1111,0.0,0.0513,0.0,0.0513,0.6376
Biznis,381,Gemini,2.1667,0.0,0.0,0.2424,0.129,0.2424,0.7331
Biznis,381,Claude,1.3,0.0,0.0,0.1081,0.0,0.1081,0.6849
Biznis,382,Ekstraktivna,0.8276,0.5263,0.3448,0.1846,0.0635,0.1846,0.6541
Biznis,382,Apstraktivna,0.96,0.2105,0.16,1.0,1.0,1.0,1.0
Biznis,382,ChatGPT,2.0,0.1579,0.3333,0.1818,0.0476,0.1364,0.6673
Biznis,382,Gemini,3.4286,0.1053,0.0,0.1622,0.0,0.1081,0.7075
Biznis,382,Claude,3.0,0.1053,0.0,0.0,0.0,0.0,0.6023
Biznis,383,Ekstraktivna,0.8,0.1765,0.0667,0.1818,0.0,0.1455,0.6705
Biznis,383,Apstraktivna,1.2,0.0588,0.0,1.0,1.0,1.0,1.0
Biznis,383,ChatGPT,2.4,0.0,0.0,0.303,0.0645,0.2424,0.7594
Biznis,383,Gemini,4.0,0.1176,0.3333,0.069,0.0,0.069,0.6979
Biznis,383,Claude,2.1818,0.0,0.0,0.0,0.0,0.0,0.6414
Biznis,384,Ekstraktivna,0.4792,0.4667,0.0417,0.1,0.0,0.075,0.6524
Biznis,384,Apstraktivna,1.2105,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,384,ChatGPT,2.0909,0.2,0.0,0.1081,0.0,0.0541,0.7014
Biznis,384,Gemini,2.5556,0.0,0.0,0.0,0.0,0.0,0.6538
Biznis,384,Claude,1.7692,0.0,0.0,0.1463,0.0,0.1463,0.6494
Biznis,385,Ekstraktivna,0.9259,0.3684,0.2222,0.2264,0.0784,0.2264,0.6907
Biznis,385,Apstraktivna,1.25,0.1053,0.1,1.0,1.0,1.0,1.0
Biznis,385,ChatGPT,1.7857,0.2105,0.2857,0.1667,0.0588,0.1667,0.7006
Biznis,385,Gemini,3.5714,0.0526,0.2857,0.2759,0.2222,0.2759,0.7343
