Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Politika,94,Ekstraktivna,4.8627,0.1523,0.3529,0.2,0.0204,0.14,0.6989
Politika,94,Apstraktivna,6.8889,0.0464,0.1667,1.0,1.0,1.0,1.0
Politika,94,ChatGPT,10.3333,0.053,0.1667,0.2899,0.0299,0.2029,0.7533
Politika,94,Gemini,8.8571,0.0662,0.2857,0.2105,0.0811,0.1579,0.6879
Politika,94,Claude,13.7778,0.0066,0.0,0.129,0.0,0.0645,0.676
Politika,95,Ekstraktivna,9.05,0.0891,0.2,0.15,0.0256,0.125,0.6577
Politika,95,Apstraktivna,10.6471,0.0149,0.0588,1.0,1.0,1.0,1.0
Politika,95,ChatGPT,10.6471,0.0545,0.1765,0.1867,0.0,0.1333,0.6924
Politika,95,Gemini,17.2381,0.0297,0.0952,0.2,0.0345,0.1667,0.6821
Politika,95,Claude,20.1111,0.0099,0.0,0.1379,0.0,0.1034,0.676
Politika,96,Ekstraktivna,5.7059,0.0751,0.4471,0.1944,0.0704,0.125,0.6409
Politika,96,Apstraktivna,9.898,0.0845,0.3265,1.0,1.0,1.0,1.0
Politika,96,ChatGPT,17.3214,0.0469,0.2143,0.4,0.0964,0.2588,0.7278
Politika,96,Gemini,23.0952,0.0282,0.0952,0.3,0.0513,0.15,0.6912
Politika,96,Claude,22.0455,0.0188,0.1818,0.2025,0.0519,0.1519,0.7054
Politika,97,Ekstraktivna,7.6923,0.0978,0.5128,0.2319,0.1194,0.2029,0.6927
Politika,97,Apstraktivna,13.0435,0.0217,0.2609,1.0,1.0,1.0,1.0
Politika,97,ChatGPT,14.2857,0.0489,0.1905,0.4167,0.2174,0.375,0.7754
Politika,97,Gemini,16.6667,0.0109,0.1111,0.1818,0.0476,0.1818,0.6986
Politika,97,Claude,20.0,0.0,0.0,0.05,0.0,0.05,0.6419
Politika,98,Ekstraktivna,7.3967,0.1023,0.3802,0.232,0.0782,0.221,0.7122
Politika,98,Apstraktivna,18.6458,0.0405,0.4583,1.0,1.0,1.0,1.0
Politika,98,ChatGPT,24.1892,0.0128,0.1622,0.2444,0.0455,0.2,0.7236
Politika,98,Gemini,31.9643,0.0149,0.1429,0.1463,0.05,0.1463,0.6982
Politika,98,Claude,34.4231,0.0085,0.0,0.1951,0.025,0.1463,0.7082
Politika,99,Ekstraktivna,7.64,0.0909,0.36,0.2222,0.0455,0.1556,0.695
Politika,99,Apstraktivna,12.3226,0.0273,0.129,1.0,1.0,1.0,1.0
Politika,99,ChatGPT,15.28,0.0136,0.16,0.1905,0.0,0.127,0.695
Politika,99,Gemini,25.4667,0.0136,0.0,0.2264,0.0392,0.1887,0.7026
Politika,99,Claude,20.1053,0.0091,0.0,0.1379,0.0357,0.1034,0.7022
Politika,100,Ekstraktivna,4.9483,0.1534,0.2759,0.1414,0.0,0.101,0.6598
Politika,100,Apstraktivna,10.6296,0.0491,0.1481,1.0,1.0,1.0,1.0
Politika,100,ChatGPT,8.697,0.0307,0.1212,0.209,0.0308,0.1493,0.6773
Politika,100,Gemini,11.48,0.0613,0.08,0.1639,0.0,0.0984,0.6986
